"stateBirths","Date","dayAvg","state_id"
3236,"0405",104,20
3269,"0406",109,20
3447,"0407",111,20
3485,"0408",112,20
3437,"0409",115,20
3323,"0410",107,20
3171,"0411",106,20
3415,"0412",110,20
3128,"0501",101,20
2994,"0502",107,20
3415,"0503",110,20
3224,"0504",107,20
3300,"0505",106,20
3456,"0506",115,20
3370,"0507",109,20
3635,"0508",117,20
3513,"0509",117,20
3239,"0510",104,20
3220,"0511",107,20
3394,"0512",109,20
3266,"0601",105,20
3072,"0602",110,20
3506,"0603",113,20
3184,"0604",106,20
3448,"0605",111,20
3403,"0606",113,20
3613,"0607",117,20
3744,"0608",121,20
3562,"0609",119,20
3407,"0610",110,20
3288,"0611",110,20
3475,"0612",112,20
4363,"0301",141,21
4085,"0302",146,21
4497,"0303",145,21
4463,"0304",149,21
4679,"0305",151,21
4453,"0306",148,21
4972,"0307",160,21
4950,"0308",160,21
4971,"0309",166,21
4857,"0310",157,21
4344,"0311",145,21
4602,"0312",148,21
4566,"0401",147,21
4254,"0402",147,21
4675,"0403",151,21
4465,"0404",149,21
4459,"0405",144,21
4725,"0406",158,21
4918,"0407",159,21
4868,"0408",157,21
4756,"0409",159,21
4577,"0410",148,21
4665,"0411",156,21
4792,"0412",155,21
4568,"0501",147,21
4146,"0502",148,21
4743,"0503",153,21
4412,"0504",147,21
4831,"0505",156,21
4826,"0506",161,21
4858,"0507",157,21
5073,"0508",164,21
4989,"0509",166,21
4677,"0510",151,21
4551,"0511",152,21
4770,"0512",154,21
4665,"0601",150,21
4344,"0602",155,21
5001,"0603",161,21
4534,"0604",151,21
4750,"0605",153,21
4807,"0606",160,21
4990,"0607",161,21
5255,"0608",170,21
5177,"0609",173,21
5002,"0610",161,21
4860,"0611",162,21
4865,"0612",157,21
5407,"0301",174,22
4850,"0302",173,22
4975,"0303",160,22
5099,"0304",170,22
5236,"0305",169,22
5072,"0306",169,22
5747,"0307",185,22
5852,"0308",189,22
5931,"0309",198,22
5729,"0310",185,22
5295,"0311",176,22
5847,"0312",189,22
5477,"0401",177,22
4831,"0402",167,22
5381,"0403",174,22
5150,"0404",172,22
4913,"0405",158,22
5452,"0406",182,22
5631,"0407",182,22
5653,"0408",182,22
5898,"0409",197,22
5701,"0410",184,22
5536,"0411",185,22
5746,"0412",185,22
5361,"0501",173,22
4866,"0502",174,22
5385,"0503",174,22
4892,"0504",163,22
5200,"0505",168,22
5399,"0506",180,22
5109,"0507",165,22
5242,"0508",169,22
5186,"0509",173,22
4766,"0510",154,22
4680,"0511",156,22
4851,"0512",156,22
4936,"0601",159,22
4442,"0602",159,22
5039,"0603",163,22
4456,"0604",149,22
4821,"0605",156,22
5128,"0606",171,22
5496,"0607",177,22
6125,"0608",198,22
5878,"0609",196,22
5769,"0610",186,22
5664,"0611",189,22
5622,"0612",181,22
1094,"0301",35,23
1057,"0302",38,23
1160,"0303",37,23
1186,"0304",40,23
1193,"0305",38,23
1108,"0306",37,23
1218,"0307",39,23
1243,"0308",40,23
1295,"0309",43,23
1140,"0310",37,23
1066,"0311",36,23
1095,"0312",35,23
1088,"0401",35,23
1005,"0402",35,23
1198,"0403",39,23
1203,"0404",40,23
1219,"0405",39,23
1272,"0406",42,23
1196,"0407",39,23
1234,"0408",40,23
1190,"0409",40,23
1099,"0410",35,23
1071,"0411",36,23
1169,"0412",38,23
1088,"0501",35,23
1029,"0502",37,23
1263,"0503",41,23
1191,"0504",40,23
1228,"0505",40,23
1206,"0506",40,23
1282,"0507",41,23
1235,"0508",40,23
1252,"0509",42,23
1129,"0510",36,23
1074,"0511",36,23
1135,"0512",37,23
1112,"0601",36,23
1039,"0602",37,23
1194,"0603",39,23
1110,"0604",37,23
1265,"0605",41,23
1236,"0606",41,23
1216,"0607",39,23
1330,"0608",43,23
1159,"0609",39,23
1176,"0610",38,23
1135,"0611",38,23
1179,"0612",38,23
6023,"0301",194,24
5576,"0302",199,24
6227,"0303",201,24
6066,"0304",202,24
6445,"0305",208,24
6081,"0306",203,24
6636,"0307",214,24
6629,"0308",214,24
6579,"0309",219,24
6545,"0310",211,24
5839,"0311",195,24
6284,"0312",203,24
6045,"0401",195,24
5869,"0402",202,24
6301,"0403",203,24
6116,"0404",204,24
6124,"0405",198,24
6216,"0406",207,24
6425,"0407",207,24
6479,"0408",209,24
6431,"0409",214,24
6227,"0410",201,24
5983,"0411",199,24
6412,"0412",207,24
6096,"0501",197,24
5692,"0502",203,24
6302,"0503",203,24
6059,"0504",202,24
6347,"0505",205,24
6444,"0506",215,24
6440,"0507",208,24
6524,"0508",210,24
6480,"0509",216,24
6281,"0510",203,24
6020,"0511",201,24
6295,"0512",203,24
6268,"0601",202,24
6045,"0602",216,24
6518,"0603",210,24
6120,"0604",204,24
6508,"0605",210,24
6435,"0606",214,24
6498,"0607",210,24
7094,"0608",229,24
6809,"0609",227,24
6543,"0610",211,24
6231,"0611",208,24
6425,"0612",207,24
6329,"0301",204,25
6048,"0302",216,25
6712,"0303",217,25
6661,"0304",222,25
7009,"0305",226,25
6886,"0306",230,25
7362,"0307",237,25
6905,"0308",223,25
6958,"0309",232,25
6801,"0310",219,25
6212,"0311",207,25
6301,"0312",203,25
6296,"0401",203,25
6079,"0402",210,25
6651,"0403",215,25
6445,"0404",215,25
6680,"0405",215,25
6814,"0406",227,25
7091,"0407",229,25
6916,"0408",223,25
6558,"0409",219,25
6513,"0410",210,25
6254,"0411",208,25
6187,"0412",200,25
5890,"0501",190,25
5607,"0502",200,25
6739,"0503",217,25
6405,"0504",214,25
6623,"0505",214,25
6705,"0506",224,25
6648,"0507",214,25
6905,"0508",223,25
6569,"0509",219,25
6423,"0510",207,25
6108,"0511",204,25
6243,"0512",201,25
6270,"0601",202,25
5790,"0602",207,25
6515,"0603",210,25
6354,"0604",212,25
6788,"0605",219,25
6692,"0606",223,25
6700,"0607",216,25
7030,"0608",227,25
6632,"0609",221,25
6555,"0610",211,25
6153,"0611",205,25
6197,"0612",200,25
10410,"0301",336,26
9928,"0302",355,26
11085,"0303",358,26
10835,"0304",361,26
11406,"0305",368,26
11227,"0306",374,26
11855,"0307",382,26
11501,"0308",371,26
11108,"0309",370,26
11015,"0310",355,26
9972,"0311",332,26
10752,"0312",347,26
10625,"0401",343,26
10137,"0402",350,26
11361,"0403",366,26
10904,"0404",363,26
11267,"0405",363,26
10972,"0406",366,26
11330,"0407",365,26
11070,"0408",357,26
10781,"0409",359,26
10679,"0410",344,26
10157,"0411",339,26
10493,"0412",338,26
10092,"0501",326,26
9772,"0502",349,26
11200,"0503",361,26
10715,"0504",357,26
10990,"0505",355,26
10958,"0506",365,26
11103,"0507",358,26
11230,"0508",362,26
10856,"0509",362,26
10376,"0510",335,26
9929,"0511",331,26
10485,"0512",338,26
10163,"0601",328,26
9683,"0602",346,26
11039,"0603",356,26
10166,"0604",339,26
10986,"0605",354,26
11077,"0606",369,26
11081,"0607",357,26
11428,"0608",369,26
11097,"0609",370,26
10718,"0610",346,26
9953,"0611",332,26
10092,"0612",326,26
5334,"0301",172,27
5197,"0302",186,27
5896,"0303",190,27
5748,"0304",192,27
6257,"0305",202,27
6008,"0306",200,27
6335,"0307",204,27
6156,"0308",199,27
6092,"0309",203,27
5961,"0310",192,27
5377,"0311",179,27
5689,"0312",184,27
5703,"0401",184,27
5507,"0402",190,27
6094,"0403",197,27
5986,"0404",200,27
6085,"0405",196,27
6005,"0406",200,27
6159,"0407",199,27
6052,"0408",195,27
5885,"0409",196,27
5803,"0410",187,27
5615,"0411",187,27
5730,"0412",185,27
5681,"0501",183,27
5467,"0502",195,27
6061,"0503",196,27
5808,"0504",194,27
6312,"0505",204,27
6133,"0506",204,27
6193,"0507",200,27
6118,"0508",197,27
6030,"0509",201,27
5742,"0510",185,27
5560,"0511",185,27
5814,"0512",188,27
5728,"0601",185,27
5454,"0602",195,27
6320,"0603",204,27
5960,"0604",199,27
6481,"0605",209,27
6472,"0606",216,27
6302,"0607",203,27
6628,"0608",214,27
6318,"0609",211,27
6218,"0610",201,27
5859,"0611",195,27
5785,"0612",187,27
3519,"0301",114,28
3142,"0302",112,28
3406,"0303",110,28
3224,"0304",107,28
3301,"0305",106,28
3505,"0306",117,28
3699,"0307",119,28
3821,"0308",123,28
3715,"0309",124,28
3813,"0310",123,28
3417,"0311",114,28
3818,"0312",123,28
3408,"0401",110,28
3217,"0402",111,28
3585,"0403",116,28
3403,"0404",113,28
3327,"0405",107,28
3517,"0406",117,28
3673,"0407",118,28
3736,"0408",121,28
3832,"0409",128,28
3652,"0410",118,28
3682,"0411",123,28
3795,"0412",122,28
3535,"0501",114,28
3140,"0502",112,28
3475,"0503",112,28
3240,"0504",108,28
3474,"0505",112,28
3539,"0506",118,28
3560,"0507",115,28
3757,"0508",121,28
3762,"0509",125,28
3611,"0510",116,28
3523,"0511",117,28
3779,"0512",122,28
3675,"0601",119,28
3400,"0602",121,28
3626,"0603",117,28
3383,"0604",113,28
3631,"0605",117,28
3716,"0606",124,28
3834,"0607",124,28
4352,"0608",140,28
4274,"0609",142,28
4106,"0610",132,28
4010,"0611",134,28
4049,"0612",131,28
6102,"0301",197,29
5802,"0302",207,29
6330,"0303",204,29
6224,"0304",207,29
6378,"0305",206,29
6470,"0306",216,29
7133,"0307",230,29
6724,"0308",217,29
6762,"0309",225,29
6537,"0310",211,29
5880,"0311",196,29
6703,"0312",216,29
6290,"0401",203,29
6042,"0402",208,29
6597,"0403",213,29
6308,"0404",210,29
6261,"0405",202,29
6704,"0406",223,29
6886,"0407",222,29
6534,"0408",211,29
6700,"0409",223,29
6596,"0410",213,29
6248,"0411",208,29
6599,"0412",213,29
6090,"0501",196,29
5933,"0502",212,29
6747,"0503",218,29
6447,"0504",215,29
6625,"0505",214,29
6671,"0506",222,29
6853,"0507",221,29
7027,"0508",227,29
6730,"0509",224,29
6452,"0510",208,29
6396,"0511",213,29
6647,"0512",214,29
6487,"0601",209,29
6192,"0602",221,29
6948,"0603",224,29
6314,"0604",210,29
6818,"0605",220,29
6759,"0606",225,29
6860,"0607",221,29
7502,"0608",242,29
7080,"0609",236,29
6834,"0610",220,29
6715,"0611",224,29
6876,"0612",222,29
903,"0301",29,30
811,"0302",29,30
958,"0303",31,30
989,"0304",33,30
1018,"0305",33,30
965,"0306",32,30
1046,"0307",34,30
980,"0308",32,30
980,"0309",33,30
971,"0310",31,30
846,"0311",28,30
955,"0312",31,30
858,"0401",28,30
859,"0402",30,30
935,"0403",30,30
987,"0404",33,30
1032,"0405",33,30
1017,"0406",34,30
1076,"0407",35,30
961,"0408",31,30
1026,"0409",34,30
961,"0410",31,30
916,"0411",31,30
891,"0412",29,30
895,"0501",29,30
821,"0502",29,30
