"","number","monthYear","stateBirths","states","div"
"519","01","8-2006",5880,"Alabama","4"
"520","01","8-2007",5912,"Alabama","4"
"521","01","8-2008",5910,"Alabama","4"
"522","01","8-2009",5483,"Alabama","4"
"523","01","8-2010",5282,"Alabama","4"
"524","01","8-2011",5612,"Alabama","4"
"525","01","8-2012",5400,"Alabama","4"
"526","01","8-2013",5308,"Alabama","4"
"527","01","8-2014",5165,"Alabama","4"
"528","01","8-2015",5192,"Alabama","4"
"529","01","9-1968",2717,"Alabama","4"
"530","01","9-1969",2943,"Alabama","4"
"531","01","9-1970",3087,"Alabama","4"
"532","01","9-1971",3038,"Alabama","4"
"533","01","9-1972",2804,"Alabama","4"
"534","01","9-1973",2670,"Alabama","4"
"535","01","9-1974",2756,"Alabama","4"
"536","01","9-1975",2569,"Alabama","4"
"537","01","9-1976",5309,"Alabama","4"
"538","01","9-1977",5414,"Alabama","4"
"539","01","9-1978",5357,"Alabama","4"
"540","01","9-1979",5554,"Alabama","4"
"541","01","9-1980",5693,"Alabama","4"
"542","01","9-1981",5497,"Alabama","4"
"543","01","9-1982",5387,"Alabama","4"
"544","01","9-1983",5114,"Alabama","4"
"545","01","9-1984",5425,"Alabama","4"
"546","01","9-1985",5356,"Alabama","4"
"547","01","9-1986",5326,"Alabama","4"
"548","01","9-1987",5338,"Alabama","4"
"549","01","9-1988",5465,"Alabama","4"
"550","01","9-1989",5652,"Alabama","4"
"551","01","9-1990",5542,"Alabama","4"
"552","01","9-1991",5588,"Alabama","4"
"553","01","9-1992",5517,"Alabama","4"
"554","01","9-1993",5484,"Alabama","4"
"555","01","9-1994",5329,"Alabama","4"
"556","01","9-1995",5357,"Alabama","4"
"557","01","9-1996",5216,"Alabama","4"
"558","01","9-1997",5288,"Alabama","4"
"559","01","9-1998",5509,"Alabama","4"
"560","01","9-1999",5601,"Alabama","4"
"561","01","9-2000",5394,"Alabama","4"
"562","01","9-2001",5062,"Alabama","4"
"563","01","9-2002",4982,"Alabama","4"
"564","01","9-2003",5321,"Alabama","4"
"565","01","9-2004",5243,"Alabama","4"
"566","01","9-2005",5351,"Alabama","4"
"567","01","9-2006",5503,"Alabama","4"
"568","01","9-2007",5558,"Alabama","4"
"569","01","9-2008",5532,"Alabama","4"
"570","01","9-2009",5486,"Alabama","4"
"571","01","9-2010",5492,"Alabama","4"
"572","01","9-2011",5127,"Alabama","4"
"573","01","9-2012",4923,"Alabama","4"
"574","01","9-2013",4884,"Alabama","4"
"575","01","9-2014",5138,"Alabama","4"
"576","01","9-2015",5217,"Alabama","4"
"577","02","1-1968",251,"Alaska","9"
"578","02","1-1969",277,"Alaska","9"
"579","02","1-1970",295,"Alaska","9"
"580","02","1-1971",337,"Alaska","9"
"581","02","1-1972",259,"Alaska","9"
"582","02","1-1973",268,"Alaska","9"
"583","02","1-1974",291,"Alaska","9"
"584","02","1-1975",289,"Alaska","9"
"585","02","1-1976",340,"Alaska","9"
"586","02","1-1977",663,"Alaska","9"
"587","02","1-1978",741,"Alaska","9"
"588","02","1-1979",684,"Alaska","9"
"589","02","1-1980",789,"Alaska","9"
"590","02","1-1981",753,"Alaska","9"
"591","02","1-1982",853,"Alaska","9"
"592","02","1-1983",902,"Alaska","9"
"593","02","1-1984",959,"Alaska","9"
"594","02","1-1985",1020,"Alaska","9"
"595","02","1-1986",1018,"Alaska","9"
"596","02","1-1987",914,"Alaska","9"
"597","02","1-1988",926,"Alaska","9"
"598","02","1-1989",938,"Alaska","9"
"599","02","1-1990",976,"Alaska","9"
"600","02","1-1991",965,"Alaska","9"
"601","02","1-1992",974,"Alaska","9"
"602","02","1-1993",881,"Alaska","9"
"603","02","1-1994",863,"Alaska","9"
"604","02","1-1995",811,"Alaska","9"
"605","02","1-1996",740,"Alaska","9"
"606","02","1-1997",813,"Alaska","9"
"607","02","1-1998",798,"Alaska","9"
"608","02","1-1999",778,"Alaska","9"
"609","02","1-2000",818,"Alaska","9"
"610","02","1-2001",793,"Alaska","9"
"611","02","1-2002",767,"Alaska","9"
"612","02","1-2003",831,"Alaska","9"
"613","02","1-2004",841,"Alaska","9"
"614","02","1-2005",812,"Alaska","9"
"615","02","1-2006",821,"Alaska","9"
"616","02","1-2007",866,"Alaska","9"
"617","02","1-2008",876,"Alaska","9"
"618","02","1-2009",888,"Alaska","9"
"619","02","1-2010",924,"Alaska","9"
"620","02","1-2011",966,"Alaska","9"
"621","02","1-2012",924,"Alaska","9"
"622","02","1-2013",974,"Alaska","9"
"623","02","1-2014",952,"Alaska","9"
"624","02","1-2015",915,"Alaska","9"
"625","02","10-1968",286,"Alaska","9"
"626","02","10-1969",278,"Alaska","9"
"627","02","10-1970",349,"Alaska","9"
"628","02","10-1971",283,"Alaska","9"
"629","02","10-1972",281,"Alaska","9"
"630","02","10-1973",285,"Alaska","9"
"631","02","10-1974",322,"Alaska","9"
"632","02","10-1975",327,"Alaska","9"
"633","02","10-1976",342,"Alaska","9"
"634","02","10-1977",730,"Alaska","9"
"635","02","10-1978",761,"Alaska","9"
