"","states","M","median","low","high"
"319","Montana",7,991,960.25,1009.5
"320","Montana",8,963,930.5,975.5
"321","Montana",9,898.5,884.25,937.5
"322","Montana",10,866.5,846.75,882.75
"323","Montana",11,842,832.75,848.25
"324","Montana",12,893.5,876,897.75
"325","Nebraska",1,1841.5,1832.75,2006
"326","Nebraska",2,1861.5,1795,1909
"327","Nebraska",3,2031,1945,2097.25
"328","Nebraska",4,1956,1905,1997.75
"329","Nebraska",5,2024,1990.25,2096.5
"330","Nebraska",6,2023.5,1972.5,2068.25
"331","Nebraska",7,2092.5,2055.25,2137
"332","Nebraska",8,2053,2050.25,2179
"333","Nebraska",9,2039,2002.25,2091
"334","Nebraska",10,2013,1970,2074.75
"335","Nebraska",11,1865.5,1848,1959.5
"336","Nebraska",12,2042.5,1945.75,2055.25
"337","Nevada",1,2262.5,2129.75,2439.5
"338","Nevada",2,2229.5,2022.25,2404
"339","Nevada",3,2442,2174,2570.5
"340","Nevada",4,2320,2131.25,2419.5
"341","Nevada",5,2347.5,2283.5,2608.75
"342","Nevada",6,2375.5,2198,2599.25
"343","Nevada",7,2593.5,2375.75,2651.25
"344","Nevada",8,2579,2287.75,2777.75
"345","Nevada",9,2543.5,2282.25,2700.5
"346","Nevada",10,2513,2359,2638.75
"347","Nevada",11,2331,2144.5,2494.5
"348","Nevada",12,2489.5,2359.75,2564.75
"349","New Hampshire",1,1111.5,1080.75,1144.25
"350","New Hampshire",2,1083,1041.25,1095
"351","New Hampshire",3,1224,1215,1238.5
"352","New Hampshire",4,1222.5,1202.25,1233.75
"353","New Hampshire",5,1282.5,1274.5,1315.5
"354","New Hampshire",6,1262,1234.75,1290.75
"355","New Hampshire",7,1315.5,1309,1345.5
"356","New Hampshire",8,1300,1294.25,1315.25
"357","New Hampshire",9,1219.5,1184.75,1252.25
"358","New Hampshire",10,1218.5,1190.75,1243.75
"359","New Hampshire",11,1093,1075.25,1118.25
"360","New Hampshire",12,1116,1089,1133.25
"361","New Jersey",1,9294,9170,9386.25
"362","New Jersey",2,8658,8556.75,8779.25
"363","New Jersey",3,9742.5,9474,9779.5
"364","New Jersey",4,9238,9124.25,9347.25
"365","New Jersey",5,9964.5,9930,10043.5
"366","New Jersey",6,9688,9574.25,9753.25
"367","New Jersey",7,10247,10148.25,10392.25
"368","New Jersey",8,10130.5,9998.75,10220.5
"369","New Jersey",9,9805,9762.25,9879.25
"370","New Jersey",10,9646,9519.75,9759.5
"371","New Jersey",11,9048.5,8974.25,9107.5
"372","New Jersey",12,9369.5,9118,9406.5
"373","New Mexico",1,2215.5,2184.5,2256.25
"374","New Mexico",2,2081,2061,2135.25
