"","County","M","median","low","high"
"616",8059,4,520,500,540
"617",8059,5,560,500,570
"618",8059,6,540,490,560
"619",8059,7,540,520,560
"620",8059,8,540,520,570
"621",8059,9,530,510,560
"622",8059,10,510,490,540
"623",8059,11,480,450,500
"624",8059,12,490,460,510
"625",8069,1,260,240,270
"626",8069,2,250,230,270
"627",8069,3,280,270,290
"628",8069,4,270,260,290
"629",8069,5,290,280,320
"630",8069,6,290,260,300
"631",8069,7,290,260,310
"632",8069,8,290,270,300
"633",8069,9,280,260,300
"634",8069,10,280,250,290
"635",8069,11,270,250,280
"636",8069,12,270,250,280
"637",8101,1,160,150,170
"638",8101,2,150,140,160
"639",8101,3,170,160,180
"640",8101,4,160,150,170
"641",8101,5,170,150,180
"642",8101,6,160,150,180
"643",8101,7,160,160,180
"644",8101,8,170,160,180
"645",8101,9,160,150,170
"646",8101,10,160,150,170
"647",8101,11,150,140,170
"648",8101,12,160,150,170
"649",8123,1,300,240,320
"650",8123,2,280,230,300
"651",8123,3,320,250,340
"652",8123,4,310,260,320
"653",8123,5,330,290,340
"654",8123,6,320,260,340
"655",8123,7,320,270,340
"656",8123,8,330,270,350
"657",8123,9,330,270,340
"658",8123,10,300,260,330
"659",8123,11,290,260,320
"660",8123,12,300,250,330
"661",9001,1,950,860,980
"662",9001,2,890,800,920
"663",9001,3,990,890,1020
"664",9001,4,960,880,1020
"665",9001,5,1020,890,1080
"666",9001,6,980,930,1060
"667",9001,7,1040,940,1100
"668",9001,8,1040,950,1080
"669",9001,9,1020,920,1050
"670",9001,10,980,880,1030
"671",9001,11,910,820,970
"672",9001,12,940,860,980
"673",9003,1,840,790,870
"674",9003,2,780,740,860
"675",9003,3,890,820,930
"676",9003,4,880,800,900
"677",9003,5,880,830,960
"678",9003,6,890,820,960
"679",9003,7,900,890,960
"680",9003,8,930,860,980
"681",9003,9,870,830,960
"682",9003,10,880,810,920
"683",9003,11,810,790,850
"684",9003,12,830,800,880
"685",9005,1,140,130,160
"686",9005,2,130,120,140
"687",9005,3,150,130,160
"688",9005,4,150,130,170
"689",9005,5,170,140,180
"690",9005,6,170,140,180
"691",9005,7,170,150,180
"692",9005,8,160,140,170
"693",9005,9,150,130,170
"694",9005,10,150,130,160
"695",9005,11,140,120,150
"696",9005,12,140,120,150
"697",9007,1,130,110,150
"698",9007,2,130,110,150
"699",9007,3,150,140,160
"700",9007,4,150,120,150
"701",9007,5,160,130,160
"702",9007,6,150,130,160
"703",9007,7,150,140,160
"704",9007,8,150,130,150
"705",9007,9,140,130,160
"706",9007,10,130,120,140
"707",9007,11,130,110,140
"708",9007,12,130,120,140
"709",9009,1,820,810,850
"710",9009,2,760,680,790
"711",9009,3,840,780,860
"712",9009,4,800,780,870
"713",9009,5,870,780,910
"714",9009,6,860,790,900
"715",9009,7,870,830,930
"716",9009,8,880,860,910
"717",9009,9,880,800,910
"718",9009,10,830,780,880
"719",9009,11,780,760,820
"720",9009,12,810,770,820
"721",9011,1,230,210,240
"722",9011,2,220,200,240
"723",9011,3,240,220,270
"724",9011,4,230,210,250
"725",9011,5,240,220,260
"726",9011,6,240,220,260
"727",9011,7,250,230,260
"728",9011,8,240,230,280
"729",9011,9,250,230,260
"730",9011,10,240,220,270
"731",9011,11,220,210,240
"732",9011,12,240,220,250
"733",9013,1,110,100,120
"734",9013,2,100,100,110
"735",9013,3,120,100,130
"736",9013,4,120,100,130
"737",9013,5,120,110,130
"738",9013,6,120,100,130
"739",9013,7,120,100,130
"740",9013,8,120,100,120
"741",9013,9,120,100,130
"742",9013,10,120,100,130
"743",9013,11,100,90,110
"744",9013,12,110,100,110
"745",9015,1,100,90,110
"746",9015,2,100,90,100
"747",9015,3,100,100,110
"748",9015,4,100,100,110
"749",9015,5,110,100,120
"750",9015,6,110,100,110
"751",9015,7,110,100,120
"752",9015,8,110,100,120
"753",9015,9,110,100,120
"754",9015,10,110,100,120
"755",9015,11,90,90,100
"756",9015,12,100,90,100
"757",10001,1,170,150,180
"758",10001,2,160,150,170
"759",10001,3,170,160,180
"760",10001,4,170,150,170
"761",10001,5,170,160,180
"762",10001,6,170,160,180
"763",10001,7,180,160,190
"764",10001,8,190,180,200
"765",10001,9,180,170,200
"766",10001,10,170,160,190
"767",10001,11,160,140,180
"768",10001,12,170,160,180
"769",10003,1,560,540,580
"770",10003,2,530,510,560
"771",10003,3,580,550,620
"772",10003,4,570,550,580
"773",10003,5,600,570,620
"774",10003,6,570,550,620
"775",10003,7,610,590,620
"776",10003,8,610,590,640
"777",10003,9,580,560,610
"778",10003,10,580,560,600
"779",10003,11,540,520,580
"780",10003,12,570,560,580
"781",10005,1,180,160,190
"782",10005,2,170,150,190
"783",10005,3,180,170,190
"784",10005,4,170,170,180
"785",10005,5,180,160,200
"786",10005,6,180,160,190
"787",10005,7,200,180,210
"788",10005,8,190,170,210
"789",10005,9,180,170,200
"790",10005,10,180,150,200
"791",10005,11,170,160,190
"792",10005,12,170,160,190
"793",12001,1,220,200,250
"794",12001,2,210,190,230
"795",12001,3,220,210,240
"796",12001,4,210,200,240
"797",12001,5,230,210,230
"798",12001,6,210,190,220
"799",12001,7,230,210,250
"800",12001,8,240,210,260
"801",12001,9,230,220,240
"802",12001,10,240,220,250
"803",12001,11,220,200,240
"804",12001,12,240,220,260
"805",12005,1,170,160,200
"806",12005,2,160,160,180
"807",12005,3,170,170,190
"808",12005,4,170,160,190
"809",12005,5,170,150,180
"810",12005,6,180,160,190
"811",12005,7,190,170,210
"812",12005,8,190,180,210
"813",12005,9,190,180,210
"814",12005,10,170,160,200
"815",12005,11,180,160,190
"816",12005,12,190,180,210
"817",12009,1,410,400,440
"818",12009,2,380,370,410
"819",12009,3,420,410,450
"820",12009,4,390,380,420
"821",12009,5,410,390,430
"822",12009,6,410,390,440
"823",12009,7,440,400,460
"824",12009,8,450,430,480
"825",12009,9,450,420,480
"826",12009,10,440,420,460
"827",12009,11,420,400,440
"828",12009,12,440,430,460
"829",12011,1,1790,1710,1880
"830",12011,2,1700,1600,1720
"831",12011,3,1810,1710,1860
"832",12011,4,1710,1660,1730
"833",12011,5,1760,1700,1820
"834",12011,6,1750,1660,1780
"835",12011,7,1850,1770,1930
"836",12011,8,1930,1830,1990
"837",12011,9,1910,1840,1990
"838",12011,10,1900,1830,1960
"839",12011,11,1840,1760,1880
"840",12011,12,1920,1860,1980
"841",12015,1,90,80,90
"842",12015,2,80,70,80
"843",12015,3,80,80,90
"844",12015,4,80,80,90
"845",12015,5,80,80,90
"846",12015,6,80,70,90
"847",12015,7,90,80,100
"848",12015,8,100,90,110
"849",12015,9,80,80,90
"850",12015,10,90,90,100
"851",12015,11,80,80,90
"852",12015,12,90,80,100
"853",12019,1,160,150,180
"854",12019,2,160,140,170
"855",12019,3,160,150,180
"856",12019,4,160,150,170
"857",12019,5,160,150,180
"858",12019,6,160,140,170
"859",12019,7,180,170,190
"860",12019,8,190,160,200
"861",12019,9,190,160,200
"862",12019,10,180,160,200
"863",12019,11,170,140,180
"864",12019,12,180,160,190
"865",12021,1,280,250,320
"866",12021,2,250,230,280
"867",12021,3,270,250,290
"868",12021,4,250,230,300
"869",12021,5,270,250,310
"870",12021,6,260,230,270
"871",12021,7,260,250,320
"872",12021,8,290,260,340
"873",12021,9,300,270,330
"874",12021,10,290,260,330
"875",12021,11,280,260,310
"876",12021,12,310,280,320
"877",12031,1,1040,1020,1070
"878",12031,2,970,920,1010
"879",12031,3,1010,970,1070
"880",12031,4,970,960,1030
"881",12031,5,980,970,1020
"882",12031,6,980,960,1040
"883",12031,7,1070,1030,1120
"884",12031,8,1110,1080,1160
"885",12031,9,1100,1060,1140
"886",12031,10,1090,1060,1140
"887",12031,11,1050,990,1080
"888",12031,12,1090,1070,1140
"889",12033,1,330,320,350
"890",12033,2,310,290,310
"891",12033,3,330,320,350
"892",12033,4,310,280,330
"893",12033,5,330,310,340
"894",12033,6,320,310,340
"895",12033,7,340,330,360
"896",12033,8,360,340,380
"897",12033,9,350,320,360
"898",12033,10,340,330,350
"899",12033,11,330,310,330
"900",12033,12,340,330,350
"901",12053,1,110,90,130
"902",12053,2,100,90,110
"903",12053,3,110,90,120
"904",12053,4,100,90,120
"905",12053,5,110,90,120
"906",12053,6,110,90,130
"907",12053,7,120,100,130
"908",12053,8,130,110,140
"909",12053,9,120,110,130
"910",12053,10,110,100,140
"911",12053,11,110,100,120
"912",12053,12,120,110,130
"913",12057,1,1330,1210,1390
"914",12057,2,1230,1150,1330
"915",12057,3,1320,1200,1360
"916",12057,4,1260,1140,1320
"917",12057,5,1280,1210,1350
"918",12057,6,1270,1150,1360
"919",12057,7,1350,1240,1460
"920",12057,8,1410,1330,1500
"921",12057,9,1430,1260,1470
"922",12057,10,1400,1260,1480
"923",12057,11,1350,1200,1410
"924",12057,12,1370,1280,1500
"925",12069,1,240,200,280
"926",12069,2,230,170,240
"927",12069,3,230,190,270
"928",12069,4,220,180,250
"929",12069,5,240,190,250
"930",12069,6,230,180,250
"931",12069,7,250,200,270
"932",12069,8,270,210,280
"933",12069,9,260,210,270
"934",12069,10,260,220,290
"935",12069,11,240,200,270
"936",12069,12,260,220,280
"937",12071,1,500,430,550
"938",12071,2,470,410,500
"939",12071,3,470,420,550
"940",12071,4,460,390,520
"941",12071,5,480,420,540
"942",12071,6,480,390,530
"943",12071,7,500,390,580
"944",12071,8,540,480,590
"945",12071,9,540,450,590
"946",12071,10,540,460,570
"947",12071,11,520,420,550
"948",12071,12,560,440,570
"949",12073,1,250,240,260
"950",12073,2,240,220,250
"951",12073,3,250,230,270
"952",12073,4,230,220,250
"953",12073,5,250,230,260
"954",12073,6,250,230,250
"955",12073,7,260,250,280
"956",12073,8,260,250,280
"957",12073,9,270,240,280
"958",12073,10,260,250,280
"959",12073,11,260,240,270
